시설구분,시설명,소재지도로명주소,소재지면적,전화번호,데이터기준일자
안산시노인복지관,상록구 노인복지관,경기도 안산시 상록구 고잔로 162(성포동),998.12,031-414-2271,2023-10-05
안산시노인복지관,단원구 노인복지관,경기도 안산시 단원구 선부광장1로 134(선부동),4204,031-405-1188,2023-10-05
법인 시설,동산 노인복지관,경기도 안산시 상록구 석호공원로 8(사동),514.68,031-400-8701,2023-10-05
